,method,band,rho,avg-dist,pval_hat,corrected pval_hat
128,NMI,$f_1$,0.9,0.022136615006478334,0.04426694943127093,0.11704701758975651
129,NMI,$f_1$,0.99,0.05865406918646169,3.499983663387663e-37,1.3263095987574301e-36
130,NMI,$f_2$,0.1,0.019729589519393433,1.0,1.0
131,NMI,$f_2$,0.2,0.01910645047936966,0.09465064009434239,0.23995936925326242
132,NMI,$f_2$,0.3,0.021144992911206684,0.01641465603023282,0.04545597054526011
133,NMI,$f_2$,0.4,0.020199019023552842,1.0,1.0
134,NMI,$f_2$,0.5,0.022587787873904384,1.0,1.0
135,NMI,$f_2$,0.6,0.021556963951530284,1.0,1.0
136,NMI,$f_2$,0.7,0.020400258332665167,1.0,1.0
137,NMI,$f_2$,0.8,0.02062553117570463,1.0,1.0
138,NMI,$f_2$,0.9,0.018208973800827477,0.15823674894686013,0.3904049087038149
139,NMI,$f_2$,0.99,0.020980012348580348,0.04454289280499067,0.11704701758975651
140,NMI,$f_3$,0.1,0.018694739307630544,1.0,1.0
141,NMI,$f_3$,0.2,0.019994557877601477,0.11767957575292753,0.29419893938231884
142,NMI,$f_3$,0.3,0.020187531986967183,1.0,1.0
143,NMI,$f_3$,0.4,0.02057486932675831,1.0,1.0
144,NMI,$f_3$,0.5,0.020038995927549662,1.0,1.0
145,NMI,$f_3$,0.6,0.02324514582044195,1.0,1.0
146,NMI,$f_3$,0.7,0.017739548603037406,0.2606059340608032,0.5975677468910137
147,NMI,$f_3$,0.8,0.019959336231401545,1.0,1.0
148,NMI,$f_3$,0.9,0.020789442412995213,0.48878992618502354,1.0
149,NMI,$f_3$,0.99,0.020940584155012196,1.0,1.0
150,NMI,$f_4$,0.1,0.020663997754046603,1.0,1.0
151,NMI,$f_4$,0.2,0.02043638280402476,1.0,1.0
152,NMI,$f_4$,0.3,0.02144862388249688,0.8507794427229876,1.0
153,NMI,$f_4$,0.4,0.020645621866041273,1.0,1.0
154,NMI,$f_4$,0.5,0.021377909202691017,0.03654586446917899,0.09745563858447731
155,NMI,$f_4$,0.6,0.02076885236477027,0.2133742248254125,0.5087067611731688
156,NMI,$f_4$,0.7,0.02068666336881437,1.0,1.0
157,NMI,$f_4$,0.8,0.019470870468591778,1.0,1.0
158,NMI,$f_4$,0.9,0.017634821292504523,1.0,1.0
159,NMI,$f_4$,0.99,0.02057369403765067,0.014931858454427665,0.041670302663519065
160,ALE,$f_1$,0.1,0.0011643626542163798,1.0,1.0
161,ALE,$f_1$,0.2,0.0013674917644107257,0.7683421034837153,1.0
162,ALE,$f_1$,0.3,0.0010164996703613475,0.22118356175505394,0.5204319100118916
163,ALE,$f_1$,0.4,0.0012248809426675634,1.0,1.0
164,ALE,$f_1$,0.5,0.00169145681076628,1.0,1.0
165,ALE,$f_1$,0.6,0.0015700522051829962,0.08508058508335495,0.21877864735719843
166,ALE,$f_1$,0.7,0.0016036836925823223,0.005468265920581233,0.01562361691594638
167,ALE,$f_1$,0.8,0.0020776602503997394,1.0,1.0
168,ALE,$f_1$,0.9,0.007442610182679379,1.0,1.0
169,ALE,$f_1$,0.99,0.025912522182245427,1.0,1.0
170,ALE,$f_2$,0.1,0.001394570165673954,1.0,1.0
171,ALE,$f_2$,0.2,0.0013980965799187165,1.0,1.0
172,ALE,$f_2$,0.3,0.0016075768203737473,0.5839603555707034,1.0
173,ALE,$f_2$,0.4,0.0017412144129357449,1.0,1.0
174,ALE,$f_2$,0.5,0.0018574858069330127,0.010720332446768599,0.03015093500653668
175,ALE,$f_2$,0.6,0.0023186923259604815,1.0,1.0
176,ALE,$f_2$,0.7,0.00315094072282219,1.791116043882074e-07,5.328940295847493e-07
177,ALE,$f_2$,0.8,0.004662716334078135,7.208284617156808e-17,2.359074965614955e-16
178,ALE,$f_2$,0.9,0.004929498065967992,6.4611882769975235e-16,2.076810517606347e-15
179,ALE,$f_2$,0.99,0.006203440888205062,2.552550762450608e-24,8.669040325303952e-24
180,ALE,$f_3$,0.1,0.001247049155532383,1.0,1.0
181,ALE,$f_3$,0.2,0.0015213468204020733,0.0007634355296861041,0.00219869432549598
182,ALE,$f_3$,0.3,0.0019208379700950899,4.6186990976941087e-14,1.4333893751464473e-13
183,ALE,$f_3$,0.4,0.0032421392834526596,1.725016593915864e-28,5.971211286631838e-28
184,ALE,$f_3$,0.5,0.00638807641215424,7.4286362894537e-115,3.518827716057016e-114
185,ALE,$f_3$,0.6,0.011933374176425109,0.0,0.0
186,ALE,$f_3$,0.7,0.020853816890440243,0.0,0.0
187,ALE,$f_3$,0.8,0.03193927998778372,0.0,0.0
188,ALE,$f_3$,0.9,0.04148914449716029,0.0,0.0
189,ALE,$f_3$,0.99,0.041717170062117795,0.0,0.0
190,ALE,$f_4$,0.1,0.0013420186561024002,1.0,1.0
191,ALE,$f_4$,0.2,0.0017139174066608312,1.0,1.0
192,ALE,$f_4$,0.3,0.00171582038994338,1.0,1.0
193,ALE,$f_4$,0.4,0.002496653537804053,1.0,1.0
194,ALE,$f_4$,0.5,0.0036583886426766864,1.0,1.0
195,ALE,$f_4$,0.6,0.006319120970926322,1.0,1.0
196,ALE,$f_4$,0.7,0.009762818791446214,1.0,1.0
197,ALE,$f_4$,0.8,0.012089973098348078,1.0,1.0
198,ALE,$f_4$,0.9,0.014371601270300495,1.0,1.0
199,ALE,$f_4$,0.99,0.01416282216356966,1.0,1.0
200,PCC,$f_1$,0.1,0.01508829950991773,1.0,1.0
201,PCC,$f_1$,0.2,0.01596632849461682,1.0,1.0
202,PCC,$f_1$,0.3,0.012283345006956688,1.0,1.0
203,PCC,$f_1$,0.4,0.01789316781931093,1.0,1.0
204,PCC,$f_1$,0.5,0.019225365507803113,1.0,1.0
205,PCC,$f_1$,0.6,0.03183183459870947,1.0,1.0
206,PCC,$f_1$,0.7,0.06034577010450166,1.6054831206022081e-21,5.40162545249341e-21
207,PCC,$f_1$,0.8,0.14353678885792223,0.0,0.0
208,PCC,$f_1$,0.9,0.2699552320146921,0.0,0.0
209,PCC,$f_1$,0.99,0.33492691596743634,0.0,0.0
210,PCC,$f_2$,0.1,0.02191338409590888,1.0,1.0
211,PCC,$f_2$,0.2,0.026590113118579436,1.0,1.0
212,PCC,$f_2$,0.3,0.019125444670054968,1.0,1.0
213,PCC,$f_2$,0.4,0.02523995146425086,1.0,1.0
214,PCC,$f_2$,0.5,0.037628234339349344,1.0,1.0
215,PCC,$f_2$,0.6,0.048677020659459905,1.0,1.0
216,PCC,$f_2$,0.7,0.07429586972836934,1.628351009960675e-36,6.106316287352532e-36
217,PCC,$f_2$,0.8,0.13193869359102847,0.0,0.0
218,PCC,$f_2$,0.9,0.1715273919325315,0.0,0.0
219,PCC,$f_2$,0.99,0.1797353030805922,0.0,0.0
220,PCC,$f_3$,0.1,0.026276679867541394,1.0,1.0
221,PCC,$f_3$,0.2,0.026445528505553637,1.0,1.0
222,PCC,$f_3$,0.3,0.02754177408588968,1.0,1.0
223,PCC,$f_3$,0.4,0.02513922600848149,1.0,1.0
224,PCC,$f_3$,0.5,0.03912396200217866,1.0,1.0
225,PCC,$f_3$,0.6,0.04902167994712646,1.0,1.0
226,PCC,$f_3$,0.7,0.06785360918223603,1.0,1.0
227,PCC,$f_3$,0.8,0.1372576259885076,1.5458870308961706e-57,6.183548123584682e-57
228,PCC,$f_3$,0.9,0.2920471535569873,0.0,0.0
229,PCC,$f_3$,0.99,0.35487048629829426,0.0,0.0
230,PCC,$f_4$,0.1,0.025721945726576666,0.30439852003568235,0.6892041963072053
231,PCC,$f_4$,0.2,0.023044549810147825,1.0,1.0
232,PCC,$f_4$,0.3,0.037496512794772646,1.0,1.0
233,PCC,$f_4$,0.4,0.032472808970468114,1.0,1.0
234,PCC,$f_4$,0.5,0.02463044948503393,1.0,1.0
235,PCC,$f_4$,0.6,0.03550221983977726,1.0,1.0
236,PCC,$f_4$,0.7,0.050660954562929225,1.0,1.0
237,PCC,$f_4$,0.8,0.0836365394973439,1.0198350152461581e-32,3.635055499887296e-32
238,PCC,$f_4$,0.9,0.1344873771526154,0.0,0.0
239,PCC,$f_4$,0.99,0.14880966203004697,0.0,0.0
240,MSC,$f_1$,0.1,0.005146263946440685,1.0,1.0
241,MSC,$f_1$,0.2,0.004870866497983778,1.0,1.0
242,MSC,$f_1$,0.3,0.008585558552645282,1.0,1.0
243,MSC,$f_1$,0.4,0.01635819649772435,1.0,1.0
244,MSC,$f_1$,0.5,0.04242521016594709,7.879351928720298e-93,3.4592276760235455e-92
245,MSC,$f_1$,0.6,0.09675764095767285,0.0,0.0
246,MSC,$f_1$,0.7,0.20970494995608238,0.0,0.0
247,MSC,$f_1$,0.8,0.4275538762049589,0.0,0.0
248,MSC,$f_1$,0.9,0.7067795166768265,0.0,0.0
249,MSC,$f_1$,0.99,0.8368976588591771,0.0,0.0
250,MSC,$f_2$,0.1,0.004572360662051591,1.0,1.0
251,MSC,$f_2$,0.2,0.005871948748513875,1.0,1.0
252,MSC,$f_2$,0.3,0.00929721132652549,1.0,1.0
253,MSC,$f_2$,0.4,0.015074852275790774,1.0,1.0
254,MSC,$f_2$,0.5,0.029092080517270545,9.388750306875086e-34,3.414091020681849e-33
255,MSC,$f_2$,0.6,0.05545100001860761,1.2507316804544873e-103,5.699536771691335e-103
256,MSC,$f_2$,0.7,0.08816823861575086,0.0,0.0
257,MSC,$f_2$,0.8,0.12674652707105696,0.0,0.0
258,MSC,$f_2$,0.9,0.1465018722200846,0.0,0.0
259,MSC,$f_2$,0.99,0.14893223241067394,0.0,0.0
260,MSC,$f_3$,0.1,0.005655499557211174,1.0,1.0
261,MSC,$f_3$,0.2,0.006961058183654401,1.0,1.0
262,MSC,$f_3$,0.3,0.012637109746007107,1.0,1.0
263,MSC,$f_3$,0.4,0.019363147216646857,1.0,1.0
264,MSC,$f_3$,0.5,0.048391094907123705,7.518705858177557e-78,3.1843930693457887e-77
265,MSC,$f_3$,0.6,0.10313070023082004,0.0,0.0
266,MSC,$f_3$,0.7,0.21299203557609114,0.0,0.0
267,MSC,$f_3$,0.8,0.381110670767842,0.0,0.0
268,MSC,$f_3$,0.9,0.5633624392070053,0.0,0.0
269,MSC,$f_3$,0.99,0.635316893289097,0.0,0.0
270,MSC,$f_4$,0.1,0.005932384931579809,1.0,1.0
271,MSC,$f_4$,0.2,0.006347260597588812,1.0,1.0
272,MSC,$f_4$,0.3,0.01096639499364052,1.0,1.0
273,MSC,$f_4$,0.4,0.015662995439828277,1.0,1.0
274,MSC,$f_4$,0.5,0.03431441801426454,1.6789916158731731e-34,6.167724303207575e-34
275,MSC,$f_4$,0.6,0.07027435129782905,0.0,0.0
276,MSC,$f_4$,0.7,0.12836568895352957,0.0,0.0
277,MSC,$f_4$,0.8,0.19963008462084844,0.0,0.0
278,MSC,$f_4$,0.9,0.25277948545291873,0.0,0.0
279,MSC,$f_4$,0.99,0.27486847914387147,0.0,0.0
280,IC,$f_1$,0.1,0.00022349227242591426,1.0,1.0
281,IC,$f_1$,0.2,0.00022227902997191715,1.0,1.0
282,IC,$f_1$,0.3,0.0003009037510345764,1.0,1.0
283,IC,$f_1$,0.4,0.0008857810375885077,1.0,1.0
284,IC,$f_1$,0.5,0.0035088557185621073,7.17849108909834e-92,3.113562400090846e-91
285,IC,$f_1$,0.6,0.014171747203670364,0.0,0.0
286,IC,$f_1$,0.7,0.06163323407339116,0.0,0.0
287,IC,$f_1$,0.8,0.24376295253804972,0.0,0.0
288,IC,$f_1$,0.9,0.6564174047224324,0.0,0.0
289,IC,$f_1$,0.99,0.9264957190969743,0.0,0.0
290,IC,$f_2$,0.1,0.00019332953075826203,1.0,1.0
291,IC,$f_2$,0.2,0.00028418194910930194,1.0,1.0
292,IC,$f_2$,0.3,0.0007045808487325672,1.0,1.0
293,IC,$f_2$,0.4,0.00134934888153115,4.4157032913241766e-16,1.4321199863754087e-15
294,IC,$f_2$,0.5,0.0038230725033244674,4.1381907590246276e-44,1.6192920361400718e-43
295,IC,$f_2$,0.6,0.01127034476745259,0.0,0.0
296,IC,$f_2$,0.7,0.026218707946587885,0.0,0.0
297,IC,$f_2$,0.8,0.04783266422259597,0.0,0.0
298,IC,$f_2$,0.9,0.06404968165811545,0.0,0.0
299,IC,$f_2$,0.99,0.06633758342820455,0.0,0.0
300,IC,$f_3$,0.1,0.0003521839631224961,1.0,1.0
301,IC,$f_3$,0.2,0.0004408972681857761,1.0,1.0
302,IC,$f_3$,0.3,0.0006456895090153997,1.0,1.0
303,IC,$f_3$,0.4,0.0010576280408228509,1.0,1.0
304,IC,$f_3$,0.5,0.004403055024743697,3.749131439453375e-51,1.4831728771463901e-50
305,IC,$f_3$,0.6,0.017777432341385405,0.0,0.0
306,IC,$f_3$,0.7,0.06840333998686247,0.0,0.0
307,IC,$f_3$,0.8,0.2142101964321612,0.0,0.0
308,IC,$f_3$,0.9,0.4613646968669149,0.0,0.0
309,IC,$f_3$,0.99,0.5885473162692282,0.0,0.0
310,IC,$f_4$,0.1,0.00043390146101760863,1.0,1.0
311,IC,$f_4$,0.2,0.00031700500058119246,1.0,1.0
312,IC,$f_4$,0.3,0.0005054671653153552,1.0,1.0
313,IC,$f_4$,0.4,0.0008783679214555378,1.0,1.0
314,IC,$f_4$,0.5,0.002701588134292855,1.0,1.0
315,IC,$f_4$,0.6,0.00908786120393887,0.0,0.0
316,IC,$f_4$,0.7,0.027243240123732262,0.0,0.0
317,IC,$f_4$,0.8,0.062190215264460995,0.0,0.0
318,IC,$f_4$,0.9,0.0995692958277577,0.0,0.0
319,IC,$f_4$,0.99,0.11440364651599577,0.0,0.0
320,WPLI,$f_1$,0.1,0.10718273865420153,1.0,1.0
